city_area,state,ufo_shape,encounter_length,date_documented,latitude,longitude,date
mesa,az,triangle,120.0,8/5/2012,33.4222222,-111.8219444,06-30-2012
bakersfield (i-5 north of),ca,triangle,180.0,4/8/2002,35.3733333,-119.0177778,03-29-2002
west yarmouth,ma,circle,45.0,10/23/2013,41.7055556,-70.2291667,10-18-2013
akron (north of),oh,flash,5.0,4/16/2005,41.0813889,-81.5191667,04-02-2005
benton,ky,light,300.0,4/27/2007,36.8572222,-88.3502778,04-21-2007
new brighton,pa,cigar,25.0,8/28/2002,40.7302778,-80.3102778,07-12-2002
lakewood,wa,cone,45.0,1/10/2014,47.1719444,-122.5172222,01-04-2014
maricopa,az,light,1200.0,4/30/2004,33.0580556,-112.0469444,03-23-2004
brookline,ma,other,240.0,11/11/2003,42.3316667,-71.1216667,11-08-2003
kansas city,mo,triangle,180.0,6/20/2005,39.0997222,-94.5783333,06-06-2005
bloomington,il,other,40.0,4/14/2009,40.4841667,-88.9936111,02-17-2009
san bernardino,ca,other,60.0,3/4/2008,34.1083333,-117.2888889,02-10-2004
bothell (northern sky),wa,circle,5.0,9/26/1998,47.7625,-122.2041667,09-20-1998
phoenix,az,rectangle,120.0,9/2/2005,33.4483333,-112.0733333,02-04-2005
redondo beach,ca,formation,240.0,2/28/2013,33.8491667,-118.3875,02-23-2013
campbell,ca,chevron,60.0,10/30/2006,37.2872222,-121.9488889,08-16-2006
orlando,fl,light,2100.0,3/18/2014,28.5380556,-81.3794444,08-15-2013
cooper city,fl,other,15.0,2/14/2006,26.0569444,-80.2719444,10-22-2000
forked river,nj,triangle,600.0,10/8/2007,39.8397222,-74.1905556,09-15-2007
scranton,pa,circle,20.0,3/21/2003,41.4088889,-75.6627778,12-15-1997
henderson,nv,oval,60.0,4/3/2011,36.0397222,-114.9811111,04-03-2011
mendon,il,light,2220.0,8/7/2011,40.0883333,-91.2836111,04-22-2011
salida,co,sphere,3.0,4/9/2004,38.5347222,-105.9983333,03-22-2004
sacaton,az,teardrop,180.0,5/27/2003,33.0766667,-111.7386111,05-15-2003
petaluma,ca,circle,1.0,2/16/1999,38.2325,-122.6355556,12-15-1998
vincennes,in,light,1800.0,3/6/2001,38.6772222,-87.5286111,02-28-2001
los banos,ca,disk,2700.0,3/23/2004,37.0583333,-120.8488889,03-10-2004
clearlake,ca,light,120.0,4/27/2007,38.9583333,-122.6252778,04-04-2007
hartford,ct,fireball,45.0,2/4/2013,41.7636111,-72.6855556,01-21-2013
cincinnati (milford),oh,sphere,120.0,6/9/2009,39.1619444,-84.4569444,05-31-2009
fairfield,pa,light,120.3,3/28/2004,39.7872222,-77.3688889,03-22-2004
battle ground,wa,fireball,300.0,8/30/2013,45.7811111,-122.5322222,08-09-2013
las vegas,nv,other,15.0,4/27/2003,36.175,-115.1363889,11-15-2002
clarence,ny,rectangle,2.0,8/24/2010,42.9766667,-78.5922222,07-07-2009
sanbornton,nh,oval,1800.0,10/11/2005,43.4891667,-71.5827778,07-20-2005
snohomish,wa,circle,2700.0,10/30/2006,47.9130556,-122.0969444,08-05-2006
ridgefield,ct,other,300.0,9/30/2013,41.2813889,-73.4986111,08-28-2013
seattle,wa,sphere,60.0,7/10/2010,47.6063889,-122.3308333,07-06-2010
phoenix,az,triangle,180.0,9/4/2003,33.4483333,-112.0733333,06-15-1999
orland park,il,light,6.0,10/11/2005,41.6302778,-87.8538889,10-01-2005
atlanta,ga,cylinder,60.0,7/3/2013,33.7488889,-84.3880556,06-21-2013
wautoma,wi,fireball,900.0,12/12/2011,44.0747222,-89.2877778,11-14-2011
burlington,wa,disk,300.0,6/18/2004,48.4758333,-122.3241667,05-15-1965
lemoore,ca,light,1200.0,9/28/2002,36.3008333,-119.7819444,09-19-2002
farmington,ut,rectangle,25.0,10/11/2005,40.9805556,-111.8866667,09-30-2005
fox point,wi,fireball,15.0,4/2/1999,43.1575,-87.9016667,02-24-1999
crandall,tx,disk,30.0,12/12/2011,32.6277778,-96.4555556,11-13-2011
venice,ca,triangle,4.0,11/19/2012,33.9908333,-118.4591667,10-29-2012
interlachen,fl,fireball,60.0,9/17/2000,29.6236111,-81.8905556,07-06-1966
sedona,az,formation,60.0,9/2/2005,34.8697222,-111.7602778,04-01-2005
virginia beach,va,fireball,55.0,3/3/2013,36.8527778,-75.9783333,03-01-2013
indian shores,fl,light,4.0,11/2/2004,27.8625,-82.8486111,10-05-2004
attleboro,ma,disk,2.0,10/31/2008,41.9444444,-71.2861111,11-15-2007
mt. charleston,nv,diamond,5.0,1/10/2009,36.2572222,-115.6419444,12-21-2008
dallas,or,light,60.0,7/26/2002,44.9194444,-123.3158333,05-11-2002
silver creek,ga,light,600.0,6/12/2007,34.1761111,-85.1613889,05-03-2007
rockland,me,triangle,360.0,10/27/2004,44.1036111,-69.1094444,09-14-2004
eagle rock,ca,cigar,240.0,2/18/2001,34.1388889,-118.2130556,01-10-2001
earp,ca,triangle,16200.0,5/24/2005,34.1647222,-114.3002778,05-15-2005
fortuna,ca,light,600.0,2/18/2001,40.5983333,-124.1561111,02-14-2001
fort lauderdale,fl,fireball,5.0,8/5/2001,26.1219444,-80.1436111,07-29-2001
canton,mi,sphere,900.0,8/7/2007,42.3086111,-83.4822222,07-21-2007
san angelo,tx,oval,20.0,1/5/2011,31.4636111,-100.4366667,11-21-2010
arvada,co,egg,120.0,3/21/2003,39.8027778,-105.0869444,03-15-2003
hazel green,al,light,3600.0,9/2/2005,34.9322222,-86.5719444,08-10-2005
manchester,ny,fireball,3.0,9/28/2002,42.9697222,-77.2305556,12-10-1998
fountain valley,ca,light,180.0,3/7/2000,33.7091667,-117.9527778,03-01-2000
coconut creek,fl,diamond,300.0,12/14/2004,26.2513889,-80.1791667,12-11-2004
cambridge,ma,triangle,120.0,3/11/2006,42.375,-71.1061111,02-17-2006
many,la,light,60.0,10/11/2005,31.5686111,-93.4838889,09-20-2005
clarksville,tn,other,600.0,4/18/2014,36.5297222,-87.3594444,01-18-2014
dinuba,ca,sphere,600.0,3/19/2009,36.5433333,-119.3861111,02-24-2009
humboldt,ia,formation,60.0,12/2/2013,42.7208333,-94.215,11-28-2013
athens,oh,light,424.0,12/2/2013,39.3291667,-82.1013889,12-20-2012
fresno,ca,sphere,20.0,7/4/2012,36.7477778,-119.7713889,06-26-2012
huntsville,al,sphere,30.0,4/11/2014,34.7302778,-86.5861111,06-30-2013
orem,ut,light,60.0,2/3/2012,40.2969444,-111.6938889,02-02-2012
seminole,al,teardrop,172800.0,3/13/2012,30.515,-87.4738889,01-02-2011
circleville,oh,light,600.0,1/17/2004,39.6005556,-82.9461111,10-01-2003
charlotte,nc,chevron,15.0,9/1/2004,35.2269444,-80.8433333,07-04-2004
tinley park,il,cylinder,120.0,8/21/2011,41.5733333,-87.7844444,08-18-2011
issaquah,wa,cylinder,3600.0,5/13/2012,47.5302778,-122.0313889,03-18-2012
ellwood city,pa,sphere,180.0,7/4/2012,40.8616667,-80.2866667,07-04-2011
timbo,ar,cone,2700.0,5/2/2011,35.8708333,-92.3169444,03-13-2001
port washington,wi,circle,20.0,12/20/2012,43.3872222,-87.8755556,12-13-2012
deer park,ny,light,5.0,2/16/2000,40.7616667,-73.3297222,02-09-2000
vinton,va,circle,180.0,1/10/2009,37.2808333,-79.8972222,12-13-2008
rome,ga,fireball,5.0,12/7/2006,34.2569444,-85.1647222,11-28-2006
butler,md,light,180.0,10/30/2012,39.5352778,-76.7283333,10-19-2012
seattle,wa,light,600.0,12/12/2009,47.6063889,-122.3308333,09-03-2009
cleveland (lakewood),oh,disk,900.0,9/19/2002,41.4994444,-81.6955556,06-05-1970
kinder,la,teardrop,600.0,1/10/2009,30.4852778,-92.8505556,01-06-2009
manchester,nh,flash,120.0,9/29/2004,42.9955556,-71.4552778,09-19-2004
summerville,sc,triangle,60.0,2/14/2006,33.0183333,-80.1758333,12-29-2005
spring valley,ca,other,600.0,8/7/2007,32.7447222,-116.9980556,07-04-2007
louisa,ky,triangle,120.0,3/19/2009,38.1141667,-82.6033333,01-23-2009
warwick,ri,light,180.0,9/24/2012,41.7,-71.4166667,09-20-2012
springfield,vt,circle,60.0,8/19/2012,43.2983333,-72.4827778,08-06-2012
portland,or,rectangle,600.0,6/4/2004,45.5236111,-122.675,05-15-2004
norwich,ny,triangle,5.0,4/27/2007,42.5311111,-75.5238889,04-20-2007
cranston,ri,cone,180.0,12/12/2009,41.7797222,-71.4377778,09-19-2009
lewes,de,light,900.0,1/27/2005,38.7744444,-75.1397222,01-19-2005
vassalboro,me,light,300.0,12/12/2009,44.4591667,-69.6780556,12-04-2009
wenatchee,wa,oval,210.0,1/10/2014,47.4236111,-120.3091667,01-01-2014
montgomery,al,circle,300.0,12/20/2012,32.3666667,-86.3,11-24-2012
apopka,fl,cigar,1800.0,4/22/2003,28.6802778,-81.5097222,04-11-2003
bolivar,mo,triangle,600.0,2/4/2013,37.6144444,-93.4102778,12-18-2012
bakersfield,ca,circle,30.0,10/3/2013,35.3733333,-119.0177778,10-01-2013
buena vista,co,sphere,10.0,6/12/2008,38.8422222,-106.1305556,05-17-2008
brentwood,ca,light,180.0,1/11/2005,37.9319444,-121.6947222,01-02-2005
chevy chase,md,light,900.0,11/28/2007,38.9711111,-77.0766667,11-18-2007
orange,tx,cigar,45.0,4/17/2008,30.0927778,-93.7363889,04-01-2008
monrovia,in,triangle,1200.0,2/16/1999,39.5788889,-86.4822222,12-03-1976
omaha,ne,sphere,6.0,6/4/2004,41.2586111,-95.9375,05-14-2004
orangevale,ca,light,1800.0,3/18/2014,38.6786111,-121.2247222,03-15-2014
muskogee,ok,light,180.0,6/20/2011,35.7477778,-95.3694444,06-16-2011
morehead,ky,light,10800.0,1/21/2008,38.1838889,-83.4327778,01-04-2008
jonesboro,il,formation,1200.0,9/24/2012,37.4516667,-89.2680556,08-12-2012
corpus christi,tx,oval,300.0,8/30/2013,27.8002778,-97.3961111,11-14-1966
rocklin,ca,light,20.0,11/11/2003,38.7908333,-121.2347222,11-09-2003
huntington,wv,light,15.0,1/7/2000,38.4191667,-82.4452778,12-29-1999
allenhurst,ga,light,25.0,10/8/2007,31.7838889,-81.6077778,09-14-2007
italy,tx,light,30.0,7/16/2006,32.1838889,-96.8844444,06-23-2005
norristown,pa,light,900.0,7/23/2000,40.1213889,-75.3402778,07-13-2000
sarasota (myaka state park),fl,disk,300.0,2/8/2005,27.3361111,-82.5308333,06-11-1987
tuscola (area),mi,light,20.0,3/21/2003,43.3263889,-83.6572222,03-14-2003
nokomis,fl,other,120.0,4/3/2011,27.1188889,-82.4444444,04-02-2011
seattle (outside),wa,triangle,1980.0,2/25/2003,47.6063889,-122.3308333,02-13-2003
brownsburg (speedway),in,sphere,300.0,2/1/2007,39.8433333,-86.3977778,02-20-1990
albany,ny,light,600.0,7/4/2012,42.6525,-73.7566667,01-17-1975
dudley,ga,triangle,300.0,4/4/2014,32.5422222,-83.0705556,03-26-2014
mount pleasant,mi,other,60.0,11/28/2007,43.5977778,-84.7675,11-28-2007
walla walla,wa,other,7.0,8/24/2010,46.0647222,-118.3419444,08-16-2010
deerwood,mn,oval,25.0,11/21/2010,46.4736111,-93.8986111,11-02-2010
westwood,ca,diamond,300.0,1/21/2008,40.3061111,-121.0047222,12-28-2007
casa grande,az,other,900.0,9/19/2002,32.8794444,-111.7566667,04-27-1999
knifley,ky,light,1800.0,11/21/2010,37.2427778,-85.1894444,09-28-2010
dorchester,ma,light,600.0,4/12/2013,42.2972222,-71.075,03-30-2013
cross river,ny,triangle,1080.0,4/27/2007,41.2622222,-73.615,11-17-2001
hodgkins,il,light,6.0,7/6/2010,41.7688889,-87.8577778,06-29-2010
alturas,ca,formation,20.0,9/12/1999,41.4872222,-120.5413889,09-01-1999
lincoln,ca,other,30.0,6/20/2012,38.8916667,-121.2919444,06-18-2012
missoula,mt,triangle,300.0,1/5/2011,46.8722222,-113.9930556,11-19-2010
willow springs,mo,triangle,1800.0,4/30/2004,36.9922222,-91.9697222,04-10-1994
yakima,wa,circle,10800.0,8/5/2012,46.6022222,-120.5047222,05-24-2012
worth,il,light,10.0,1/10/2009,41.6897222,-87.7972222,11-02-2008
solon,oh,other,10.0,11/11/2003,41.3897222,-81.4413889,10-30-2003
jonesboro (arkansas state university),ar,disk,28800.0,9/28/2002,35.8422222,-90.7041667,07-01-1963
columbus,oh,fireball,900.0,1/22/2004,39.9611111,-82.9988889,10-15-1980
sheldon,ia,circle,300.0,10/23/2013,43.1811111,-95.8558333,10-13-2013
kalamazoo,mi,light,9000.0,11/21/2010,42.2916667,-85.5872222,11-18-2010
columbus,oh,fireball,300.0,5/13/2012,39.9611111,-82.9988889,02-17-2012
mcminnville,or,sphere,3600.0,2/1/2007,45.2102778,-123.1975,01-11-2007
webster city,ia,light,120.0,5/15/2013,42.4694444,-93.8158333,04-13-2013
johnson city,ny,other,1200.0,10/31/2008,42.1155556,-75.9591667,08-25-2008
heber springs,ar,circle,30.0,6/12/2008,35.4913889,-92.0311111,08-20-2007
dewitt,mi,fireball,240.0,10/8/2007,42.8422222,-84.5691667,09-22-2007
venice,ca,diamond,600.0,12/2/2000,33.9908333,-118.4591667,04-24-2000
ridgefield,ct,triangle,120.0,1/17/2004,41.2813889,-73.4986111,10-20-2000
berea,ky,light,90.0,12/12/2009,37.5686111,-84.2963889,10-23-2009
hollister,mo,light,3600.0,9/24/2012,36.6211111,-93.2152778,08-19-2012
decatur,ga,sphere,3.0,5/11/2000,33.7747222,-84.2963889,05-09-2000
lawrence,ma,other,300.0,8/7/2011,42.7069444,-71.1636111,08-01-2011
urbana,il,changing,37800.0,11/30/1999,40.1105556,-88.2072222,11-27-1999
north myrtle beach,sc,sphere,600.0,10/31/2008,33.8158333,-78.6802778,08-18-2008
itasca,il,light,2.0,8/7/2007,41.975,-88.0072222,07-30-2007
lincoln (near),il,disk,30.0,8/10/1999,40.1483333,-89.3647222,08-18-1987
winter park,fl,changing,2187.0,1/11/2005,28.5997222,-81.3394444,12-26-2004
deweese (south of),ne,other,30.0,8/11/2004,40.3547222,-98.1383333,01-28-2004
daytona beach shores,fl,light,60.0,8/5/2012,29.1758333,-80.9830556,07-04-2012
killeen,tx,oval,300.0,8/5/2009,31.1169444,-97.7275,07-04-2009
wooster,oh,disk,600.0,2/22/2002,40.805,-81.9352778,02-14-2002
jupiter,fl,fireball,300.0,2/18/2013,26.9338889,-80.0944444,02-10-2013
smithtown,ny,circle,2.0,5/14/2002,40.8558333,-73.2011111,05-04-2002
cromwell,ct,light,600.0,10/10/2011,41.595,-72.6458333,08-17-2011
minneapolis,mn,sphere,300.0,12/3/2004,44.98,-93.2636111,08-19-2004
pittsburgh,pa,triangle,600.0,3/13/2012,40.4405556,-79.9961111,03-01-2012
murrysville,pa,sphere,300.0,7/3/2013,40.4283333,-79.6977778,06-08-2013
luna pier,mi,sphere,240.0,4/11/2014,41.8069444,-83.4425,07-02-1999
bellevue,ne,changing,120.0,10/30/2006,41.1366667,-95.8905556,08-01-2006
simi valley,ca,light,1200.0,5/15/2013,34.2694444,-118.7805556,04-05-2013
tustin,ca,other,240.0,5/15/2006,33.7458333,-117.8252778,03-12-2006
phoenix,az,changing,30.0,4/1/2001,33.4483333,-112.0733333,03-25-2001
carr (west of),co,changing,600.0,6/20/2012,40.8961111,-104.8744444,06-18-2012
redondo beach,ca,egg,3600.0,6/12/2007,33.8491667,-118.3875,05-02-2007
ventura,ca,formation,7.0,12/12/2009,34.2783333,-119.2922222,11-16-2009
california valley,ca,disk,600.0,4/18/2012,35.32,-120.0058333,10-15-1983
murrells inlet,sc,fireball,420.0,10/31/2008,33.5508333,-79.0416667,10-16-2008
newcomerstown,oh,disk,600.0,4/16/2005,40.2722222,-81.6061111,03-31-2005
phoenix,az,formation,900.0,10/30/2006,33.4483333,-112.0733333,08-06-2006
clearwater,fl,triangle,120.0,7/3/2013,27.9655556,-82.8002778,06-27-2013
theodore,al,circle,120.0,5/8/2014,30.5475,-88.1752778,05-07-2014
corte madera,ca,fireball,420.0,10/30/2006,37.9255556,-122.5263889,07-01-1990
tulsa,ok,circle,150.0,8/5/2001,36.1538889,-95.9925,05-23-2000
olathe,ks,other,300.0,8/5/2001,38.8813889,-94.8188889,06-05-2001
syracuse,ny,sphere,2400.0,1/12/2012,43.0480556,-76.1477778,12-23-2011
litchfield,nh,triangle,5.0,10/25/2011,42.8441667,-71.4802778,10-22-2011
northborough,ma,light,10800.0,4/16/2005,42.3194444,-71.6416667,04-11-2005
corydon,in,disk,17.0,1/21/2008,38.2119444,-86.1219444,01-19-2008
falmouth,me,disk,15.0,7/28/2010,43.7294444,-70.2425,07-26-2010
clermont,ga,light,5.0,3/19/2009,34.4777778,-83.7736111,08-24-2004
montpelier,oh,light,1800.0,11/28/2007,41.5844444,-84.6055556,11-05-2007
north dartmouth,ma,other,30.0,10/8/2007,41.6388889,-70.9708333,09-21-2007
waukesha,wi,triangle,600.0,5/13/2012,43.0116667,-88.2313889,03-29-2012
rochester (outside of),ny,other,600.0,1/17/2004,43.1547222,-77.6158333,08-15-1966
